"id_uint","function_name","variant_name","episode_id","function_type"
2122015592052985681150202260974141896,"generate_response","gpt_4o_mini","0198af72-40e1-76e1-ad9a-013d8e0072d0","json"
2122015565106021229949973581407713660,"generate_response","gpt_4o","0198af71-e9cf-7533-af20-1e5a2f08d416","json"
2121891519780925442292379266190161743,"classify_intent","gpt_4o_mini","0198a954-3dbf-75f3-8082-c74da7ef11d6","json"
2121891537039588500822061795924507647,"classify_intent","gpt_4o_mini","0198a954-7583-7e02-9d5a-126f94bf1143","json"
2121891723459556000860378731979605461,"classify_intent","gpt_4o_mini","0198a956-cfde-79a2-868d-05e829b44ed6","json"
2121891914862765924262646766930884869,"classify_intent","gpt_4o_mini","0198a959-3a53-7fe3-8218-0a6175befdb3","json"
2121891916575760942771460649168522044,"classify_intent","gpt_4o_mini","0198a959-3fdc-74b1-88cd-6bb059a86e39","json"
2121891918013178484372599831155072023,"classify_intent","gpt_4o_mini","0198a959-4481-75b2-9a5f-937eb3a62f9f","json"
2121891919471119981055932932157873186,"classify_intent","gpt_4o_mini","0198a959-4937-70d1-818d-54200d842401","json"
2121891920802190105071900025252461751,"classify_intent","gpt_4o_mini","0198a959-4d84-79e1-83f7-88c704a7854b","json"
2121891922337497565956696528960871567,"classify_intent","gpt_4o_mini","0198a959-527a-73e1-bde1-6a7016003750","json"
2121891923600860795657325209137552110,"classify_intent","gpt_4o_mini","0198a959-568f-7b73-a7dc-6b2f8b5c85a4","json"
2121891925024957056931605650782868739,"classify_intent","gpt_4o_mini","0198a959-5b29-7790-abba-34f95de7dd90","json"
2121891926181910910515017685113796034,"classify_intent","gpt_4o_mini","0198a959-5ee6-7a12-bf30-f25cb09fb909","json"
2121891928387007560768331352923016694,"classify_intent","gpt_4o_mini","0198a959-6606-7d73-af21-0ee337829e4d","json"
2121891995847447741437287838034432816,"classify_intent","gpt_4o_mini","0198a95a-4000-7551-b836-98a4d272045e","json"
2121891997358589352637552026053059654,"classify_intent","gpt_4o_mini","0198a95a-44e2-7200-9c02-6734d6491f7b","json"
2121891999701503583106461218978776098,"classify_intent","gpt_4o_mini","0198a95a-4c74-7563-8a5d-a56c8753d998","json"
2121892001872714545937866498026288022,"classify_intent","gpt_4o_mini","0198a95a-5378-7131-ae8a-62b12d1c8184","json"
2121892004005306027353492269113981687,"classify_intent","gpt_4o_mini","0198a95a-5a5c-7b01-8a61-1a8fa170b263","json"
2121892005471729522784738508806498363,"classify_intent","gpt_4o_mini","0198a95a-5f19-7a42-845e-22d123b440ee","json"
2121892007108630727866141104329478904,"classify_intent","gpt_4o_mini","0198a95a-6463-7d92-a6d7-dbe35078b61e","json"
2121892008589553051300888888886913030,"classify_intent","gpt_4o_mini","0198a95a-692c-7b12-ab53-81df39bde9b4","json"
2121892009698148025333506059539223355,"classify_intent","gpt_4o_mini","0198a95a-6cc1-7d30-a1c2-ac19e76a45e5","json"
2121892011191160250214982086809429723,"classify_intent","gpt_4o_mini","0198a95a-7194-7ad3-8523-763952c6b81f","json"
2121893628438912116996615093705904855,"classify_intent","gpt_4o_mini","0198a96e-db30-7740-954c-ee7550b5d98a","json"
2121893630461431180722212835973934669,"classify_intent","gpt_4o_mini","0198a96e-e1b9-7452-b8f1-a50b10ee9244","json"
2121893631787676480778864453913605372,"classify_intent","gpt_4o_mini","0198a96e-e602-7fb0-803d-c9239bd3a970","json"
2121893960218922753136609021437799449,"classify_intent","gpt_4o_mini","0198a973-0b3a-7550-8813-2d0e4808a8b1","json"
2121894147835764301084927212008888649,"classify_intent","gpt_4o_mini","0198a975-6973-78e0-96d9-509cd55ce67f","json"
